short_name,pace,shooting,passing,dribbling,defending,physical,player_traits
V. Gyökeres,90,84,71,80,38,91,"Enforcer, Finesse Shot, Power Shot, Acrobatic, Low Driven Shot, Press Proven, Quick Step, One Club Player"
J. Koundé,84,48,73,78,84,85,"Jockey, Long Ball Pass, Slide Tackle, Aerial Fortress, Quick Step, Relentless"
A. Mac Allister,66,81,84,85,76,77,"Pinged Pass, Power Shot, Dead Ball, Gamechanger, Block, Press Proven, One Club Player"
A. Bastoni,74,45,74,73,87,83,"Pinged Pass, Long Ball Pass, Whipped Pass, Block, Relentless, Injury Prone"
D. Rice,72,72,85,75,82,83,"Dead Ball, Whipped Pass, Block, Intercept, Aerial Fortress, Press Proven, Relentless, One Club Player"
V. Osimhen,91,84,64,79,45,83,"Chip Shot, Precision Header, Acrobatic, Gamechanger, Rapid"
F. de Jong,81,72,85,85,77,79,"Tiki Taka, Incisive Pass, Inventive, Press Proven"
N. Barella,80,80,83,88,78,79,"Relentless, Incisive Pass, Pinged Pass, Long Ball Pass, Jockey, Intercept, Press Proven"
M. Ødegaard,68,79,87,86,64,67,"Incisive Pass, Pinged Pass, Inventive, Technical, First Touch"
David Raya,61,26,45,51,17,40,"Cross Claimer, Footwork, One Club Player"
M. Maignan,63,26,49,54,20,59,"Far Throw, Long Ball Pass, Footwork, Deflector"
S. Guirassy,72,88,75,81,48,83,"Finesse Shot, Chip Shot, Precision Header, Acrobatic, Low Driven Shot, First Touch"
J. Tah,62,41,55,60,86,84,"Anticipate, Precision Header, Aerial Fortress, One Club Player"
Bruno Fernandes,67,84,88,82,65,77,"Relentless, Dead Ball, Gamechanger, Incisive Pass, Long Ball Pass, Tiki Taka, Inventive"
Marquinhos,77,54,74,73,88,82,"Intercept, Jockey, Anticipate, Aerial Fortress, Injury Prone"
K. De Bruyne,65,83,92,79,62,70,"Whipped Pass, Dead Ball, Incisive Pass, Pinged Pass, Inventive"
Y. Sommer,51,22,34,50,14,54,Far Reach
Nico Williams,93,74,80,86,38,69,"Rapid, Finesse Shot, Gamechanger, Inventive, Quick Step, Relentless"
W. Pacho,79,33,59,65,84,85,"Bruiser, Jockey, Block, Anticipate, One Club Player"
Bruno Guimarães,66,74,84,81,77,81,"Gamechanger, Incisive Pass, Long Ball Pass, Inventive, Press Proven, Relentless, One Club Player"
M. Olise,78,79,82,87,48,67,"Finesse Shot, Whipped Pass, Inventive, Technical"
S. Tonali,78,75,80,80,80,83,"Slide Tackle, Relentless, Enforcer"
T. Reijnders,79,79,81,83,74,79,"Tiki Taka, Finesse Shot, Power Shot, Incisive Pass, Technical, One Club Player"
Rúben Dias,58,40,64,68,86,83,"Bruiser, Long Ball Pass, Injury Prone"
I. Konaté,76,35,61,65,85,83,"Aerial Fortress, Bruiser"
G. Kobel,45,17,31,41,14,51,"Rush Out, Far Throw, Deflector"
T. Alexander-Arnold,75,75,90,78,78,75,"Whipped Pass, Dead Ball, Incisive Pass, Long Ball Pass, Relentless"
P. Dybala,80,86,84,87,44,65,"Gamechanger, Finesse Shot, Dead Ball, Incisive Pass, Inventive, Technical, First Touch"
H. Çalhanoğlu,71,80,86,82,78,75,"Incisive Pass, Dead Ball, Long Ball Pass, Inventive, Technical, First Touch, Relentless"
A. Rüdiger,78,55,68,66,83,85,"Aerial Fortress, Long Ball Pass, Jockey, Block, Bruiser"
M. ter Stegen,47,23,46,43,16,57,"Long Ball Pass, Footwork, Rush Out"
L. Messi,78,86,85,87,35,63,"Tiki Taka, Finesse Shot, Dead Ball, Gamechanger, Incisive Pass, Technical, Quick Step"
João Neves,74,73,79,84,80,84,"Press Proven, Long Ball Pass, Tiki Taka, Aerial Fortress, Relentless, One Club Player"
D. Doué,83,79,77,88,53,73,"Trickster, Gamechanger, Inventive, First Touch, Press Proven, Quick Step"
N. Schlotterbeck,74,62,74,72,85,84,"Slide Tackle, Long Ball Pass, Jockey, Block, Anticipate, Long Throw"
R. Gravenberch,76,75,79,81,79,80,"Intercept, Press Proven"
Dani Olmo,73,80,81,86,48,57,"Finesse Shot, Gamechanger, Incisive Pass, Tiki Taka, Technical, First Touch"
Rodrygo,88,77,79,85,35,67,"Finesse Shot, Dead Ball, Gamechanger, Inventive, Technical"
B. Mbeumo,88,83,79,84,49,77,"Gamechanger, Inventive, Rapid, First Touch, Quick Step, One Club Player"
L. Díaz,88,81,76,85,47,78,"Low Driven Shot, Inventive, Technical, Quick Step"
Bremer,82,50,55,67,85,81,"Precision Header, Long Ball Pass, Block, Aerial Fortress, Bruiser"
P. Foden,81,78,82,88,54,61,"Low Driven Shot, Gamechanger, Inventive, Technical, First Touch"
S. McTominay,75,82,75,71,79,86,"Precision Header, Low Driven Shot, Incisive Pass, Aerial Fortress, Technical, Enforcer"
P. Schick,72,84,71,79,41,77,"Precision Header, Acrobatic, Low Driven Shot"
Unai Simón,49,23,31,38,17,55,"Pinged Pass, Footwork, Rush Out, Injury Prone"
D. Upamecano,77,45,59,72,83,83,"Pinged Pass, Long Ball Pass, Jockey, Bruiser"
M. Thuram,86,83,75,77,53,82,"Precision Header, Aerial Fortress, Rapid"
Fabián Ruiz,61,77,79,77,74,72,"Finesse Shot, Long Ball Pass, Tiki Taka, First Touch"
F. Dimarco,80,80,84,82,78,79,"Finesse Shot, Power Shot, Dead Ball, Low Driven Shot, Whipped Pass, First Touch"
Y. Tielemans,54,79,85,77,75,72,"Pinged Pass, Power Shot, Incisive Pass, Press Proven"
N. Kanté,77,65,69,82,81,80,"Intercept, Press Proven, Relentless, Injury Prone"
Ederson,63,27,52,53,18,59,"Long Ball Pass, Pinged Pass, Cross Claimer"
Carvajal,80,60,79,81,80,82,"Whipped Pass, Block, Relentless, Injury Prone"
Iñigo Martínez,71,58,71,69,85,81,"Long Ball Pass, Slide Tackle"
E. Martínez,56,23,46,50,22,59,"Footwork, Rush Out"
H. Son,84,84,81,81,44,75,"Finesse Shot, Low Driven Shot, Gamechanger, Whipped Pass, First Touch, Injury Prone"
G. Xhaka,46,74,84,70,76,80,"Long Ball Pass, Finesse Shot, Power Shot, Incisive Pass, Aerial Fortress, Bruiser"
A. Griezmann,77,86,85,87,62,76,"Chip Shot, Finesse Shot, Gamechanger, Incisive Pass, Long Ball Pass, Inventive, Technical"
De Gea,46,20,32,47,17,35,"Far Throw, Footwork, One Club Player"
P. Gulácsi,43,19,28,41,21,54,Footwork
K. Benzema,75,85,81,80,42,76,"Low Driven Shot, Finesse Shot, Gamechanger, Incisive Pass, First Touch, Relentless"
Cristiano Ronaldo,75,87,75,76,39,78,"Power Shot, Precision Header, Acrobatic, Low Driven Shot, Gamechanger, Aerial Fortress, Trickster"
B. Barcola,91,77,77,80,41,69,"Finesse Shot, Gamechanger, Rapid"
G. Mamardashvili,48,17,19,34,9,53,"Far Throw, Footwork, Cross Claimer"
Joan García,46,17,35,44,11,47,Cross Claimer
Álex Baena,79,76,83,81,64,71,"Dead Ball, Incisive Pass, Long Ball Pass, Tiki Taka, Inventive, Technical, First Touch"
O. Marmoush,88,85,73,85,37,73,"Finesse Shot, Dead Ball, Technical"
